threshold,auc,accuracy,precision,recall,f1,business_cost,tn,fp,fn,tp
0.1,0.786635475336215,0.13290624695131867,0.08478854375933653,0.9945619335347432,0.1562559331687868,53571,3236,53301,27,4938
0.11,0.786635475336215,0.14854801469870899,0.08605361977119902,0.9923464249748237,0.15837351333976216,52708,4209,52328,38,4927
0.12,0.786635475336215,0.16526291827908035,0.08746552797793791,0.9901309164149044,0.1607323851561223,51779,5248,51289,49,4916
0.13,0.786635475336215,0.182774543917271,0.08899535423925668,0.9877139979859013,0.16327889593633987,50810,6337,50200,61,4904
0.13999999999999999,0.786635475336215,0.20096907417644955,0.09050629391372055,0.9832829808660625,0.16575561063389127,49889,7478,49059,83,4882
0.14999999999999997,0.786635475336215,0.21927742187245944,0.0922660201163033,0.981067472306143,0.16866927525191316,48862,8615,47922,94,4871
0.15999999999999998,0.786635475336215,0.23836623199245552,0.09411285789055382,0.9778449144008057,0.17170038194935633,47832,9805,46732,110,4855
0.16999999999999998,0.786635475336215,0.2576501577184482,0.09592659530098707,0.972809667673716,0.17463301757176947,46871,11016,45521,135,4830
0.17999999999999997,0.786635475336215,0.2776169880654288,0.09788257351892234,0.9673716012084592,0.17777695525039788,45886,12271,44266,162,4803
0.18999999999999995,0.786635475336215,0.296738317453091,0.09986831929435863,0.9623363544813696,0.18095743069231932,44935,13472,43065,187,4778
0.19999999999999996,0.786635475336215,0.31561575233325745,0.10184033289005191,0.9562940584088621,0.1840773838370132,44044,14663,41874,217,4748
0.20999999999999996,0.786635475336215,0.3341354752690969,0.1040075705891415,0.9518630412890232,0.18752479961907786,43103,15824,40713,239,4726
0.21999999999999995,0.786635475336215,0.35301291014926345,0.10621890547263682,0.9460221550855992,0.1909931889803802,42203,17014,39523,268,4697
0.22999999999999995,0.786635475336215,0.3714350752821046,0.1084485764090645,0.9397784491440081,0.1944571785788706,41349,18178,38359,299,4666
0.23999999999999994,0.786635475336215,0.38997105785177716,0.11082418764794491,0.9335347432024169,0.1981277250577071,40488,19349,37188,330,4635
0.24999999999999992,0.786635475336215,0.4073038275178043,0.11305822498586772,0.9264853977844915,0.2015245772364847,39737,20450,36087,365,4600
0.2599999999999999,0.786635475336215,0.42488049169132713,0.11565881282232784,0.9214501510574018,0.20552099009456212,38881,21556,34981,390,4575
0.2699999999999999,0.786635475336215,0.4417417319761959,0.11807849358890998,0.9144008056394763,0.20914912240291147,38159,22628,33909,425,4540
0.2799999999999999,0.786635475336215,0.45930213651588564,0.1206993644579121,0.9065458207452165,0.21303483528966302,37430,23747,32790,464,4501
0.2899999999999999,0.786635475336215,0.4750577217001073,0.12308923348601071,0.8984894259818731,0.21651661125536925,36821,24756,31781,504,4461
0.29999999999999993,0.786635475336215,0.4902279600663393,0.12555697459912019,0.8910372608257805,0.2200995024875622,36221,25726,30811,541,4424
