threshold,auc,accuracy,precision,recall,f1,business_cost,tn,fp,fn,tp
0.1,0.779186972372057,0.09074501642223017,0.0815320938177518,0.9997985901309164,0.15076918404227854,55930,617,55920,1,4964
0.11,0.779186972372057,0.0983057461545966,0.08210425253678966,0.998992950654582,0.15173764072442486,55501,1086,55451,5,4960
0.12,0.779186972372057,0.10767129524243114,0.08279701108306448,0.997583081570997,0.15290340505664804,54988,1669,54868,12,4953
0.13,0.779186972372057,0.11981724171571656,0.08374534371825262,0.9961732124874119,0.1545021475985943,54304,2423,54114,19,4946
0.13999999999999999,0.779186972372057,0.1329225065851517,0.0847757400920393,0.9943605236656596,0.15623170519453808,53579,3238,53299,28,4937
0.14999999999999997,0.779186972372057,0.1483366394588794,0.08600516904163175,0.9919436052366566,0.15828632952481964,52739,4198,52339,40,4925
0.15999999999999998,0.779186972372057,0.1641572631784332,0.0872864937881023,0.9891238670694864,0.1604168027699745,51892,5185,51352,54,4911
0.16999999999999998,0.779186972372057,0.18175018698578907,0.08881918886088801,0.9867069486404834,0.16296863045141544,50918,6279,50258,66,4899
0.17999999999999997,0.779186972372057,0.20033494845696076,0.0904560779519099,0.983484390735146,0.1656742497497752,49919,7438,49099,82,4883
0.18999999999999995,0.779186972372057,0.2191961237032942,0.09219549157037318,0.9802618328298086,0.16853952038784523,48903,8614,47923,98,4867
0.19999999999999996,0.779186972372057,0.23950440636076875,0.0938938861150506,0.9734138972809667,0.17126758566922992,47960,9897,46640,132,4833
0.20999999999999996,0.779186972372057,0.25896718805892494,0.09580778724420734,0.969385699899295,0.17438089889675915,46943,11114,45423,152,4813
0.21999999999999995,0.779186972372057,0.27997463497122044,0.09797546012269939,0.9649546827794562,0.17788916736285157,45849,12428,44109,174,4791
0.22999999999999995,0.779186972372057,0.29971383044453836,0.10008396305625525,0.9603222557905338,0.18127554414979563,44842,13665,42872,197,4768
0.23999999999999994,0.779186972372057,0.31984325712984946,0.10229136100802623,0.954884189325277,0.18478748075536414,43847,14930,41607,224,4741
0.24999999999999992,0.779186972372057,0.3393548177295047,0.1046599272856256,0.9508559919436053,0.188564695544505,42827,16150,40387,244,4721
0.2599999999999999,0.779186972372057,0.3589964553998244,0.10680542242913871,0.9425981873111783,0.1918701186888875,41988,17399,39138,285,4680
0.2699999999999999,0.779186972372057,0.37815030405515265,0.10904092852779475,0.9347432024169184,0.19529951396048564,41161,18616,37921,324,4641
0.2799999999999999,0.779186972372057,0.3968326233293226,0.11124016938898972,0.9258811681772406,0.19861741196802768,40408,19809,36728,368,4597
0.2899999999999999,0.779186972372057,0.41627914539364574,0.11366985538377002,0.9166163141993958,0.2022576774365584,39626,21051,35486,414,4551
